icd1,sales,profit,profits,profitpure,equity,assets
3,26224,1597,1537,693,7726,17297
3,5129,1945,3448,2517,14899,20043
3,3732,1412,1439,1400,9239,26539
3,17934,2083,2401,1538,6773,10633
3,3567,2216,2210,2205,12620800000,1299500000
3,4377,-12,-16,21,227,1390
3,2965,2029,2029,1960,20669,21623
3,18002,1378,862,730,3593,22447
3,385,-327,-116,-150,2737,6619
3,26962,1110,916,697,5202,21885
3,2038,102,274,198,1251,6183
3,19608,2126,1894,1297,8212,30244
3,35868,4481,4055,2711,17054,88762
3,1458400000,19993,19853,14085,81593,27858100000
3,5605,2745,3178,3351,75219,44788600000
3,1460,154,87,30,1105,9456
3,2477,349,343,226,1781,4255
3,11600,1143,1349,891,6034,9408
3,41506,1761,1779,1225,4653,9276
3,2439,801,843,-1855,36468,54836
3,711,292,304,282,1315,3701
3,26717,17445,17119,16525,29589500000,130021000000
3,13138,1499,1448,969,14364,29280
3,18180,904,717,489,6775,17879
3,7128,588,589,412,2969,4513
3,39419,2957,2300,1583,22068,66961
3,17003,380,277,122,1489,8111
3,2438,34,24,1,717,2037
3,7928,546,553,383,3022,5209
3,7321,295,327,275,1894,3344
3,25759,1431,1206,651,6793,15064
3,57667,197,408,417,11635,26074
3,26843,760,850,553,6699,12203
3,6051,-200,195,193,1711,6120
3,11305,487,542,279,5271,7262
3,57460,3915,4027,2360,26134,36781
3,20362300000,3450,4266,2417,30986,13527100000
3,56323,336,320,-4714,5451,24901
3,6621,126,53,-433,3683,5388
3,61113600000,24736,27262,19165,12602100000,2731300000
3,553,-451,-472,-537,10911,13214
3,8780,435,476,338,4974,6801
3,22084,678,696,684,8055,17046
3,1353,687,679,572,4630,10236
3,2964,88,146,162,1388,3153
3,1601,-71,-144,-76,1494,3389
3,7046,5884,5856,5745,45232,81156
3,23804,1247,1516,992,14502,23656
3,4276,-77,-93,-142,37,3285
4,1739,437,459,465,5274,5877
3,1761,171,117,32,1091,4241
3,23315,442,484,311,4791,11142
3,8053,182,190,119,1854,4854
3,6147,342,581,373,5831,7215
3,12007200000,95209,94571,90098,14762000000,181736000000
3,91717,3868,4223,2936,19453,40940
3,5633,1544,2283,5991,13414,47171
3,74885,3904,4246,2919,19400,39754
3,1128,-118,-95,-1065,358,1850
3,654,165,176,144,4029,4117
3,1594,537,548,472,3935,6127
3,8934,4398,4498,2272,30610,32358
3,28871,533,724,697,16835,30669
3,12827,406,437,32,1492,5582
3,13953,1405,1410,966,5100,8564
3,2584,232,233,169,1060,2218
3,10856,508,485,320,2870,8517
3,20516,3097,2832,2000,7679,31875
3,28714,2593,2477,1637,10324,27642
3,20477,1685,1317,595,16768,50700
3,21534,1730,1385,872,5164,22834
3,74048,4226,4257,2954,14996,56007
3,15713,559,363,245,2599,14378
3,3087,137,144,87,1699,3473
3,7977,243,217,136,2372,4813
3,33036,4349,4253,2170,10471,47291
3,14747,3288,2874,1989,7645,37986
3,8229,733,714,509,2106,8587
3,22671,1377,1179,753,3540,15526
3,14164,1012,817,638,3826,13933
3,5296,293,247,198,1483,6419
3,5335,689,636,432,1553,6389
3,634,12,4,12,3577,4869
3,3985,-751,-1522,-8190,16018,21221
3,19293,263,431,302,7989,16599
3,730,200,220,149,1373,6227
3,65109,2545,2865,1838,19741,29521
3,13322,-296,-256,-240,3574,6037
3,2349,1863,2007,1393,33628,35418
3,4214,742,745,531,1888,2578
3,7294,209,171,66,1604,5360
3,6139,-902,-792,-399,3163,5319
3,2106,297,300,236,1027,1378
3,5465,640,638,441,3614,5063
3,2503,456,472,-69,3611,8035
3,8159,312,306,206,1806,3860
3,18092600000,10817,10112,18442,62864,17833300000
3,5456,376,381,265,1412,2218
3,4714,361,363,241,2041,3140
4,3403,-58,-57,-133,1658,2073
4,2011,132,131,3,1811,3521
4,1810700000,17222,23364,19167,20042400000,29269700000
4,4987,131,204,160,3084,4272
4,2124,36,43,28,1113,1570
4,37604,2045,2150,1478,10551,36000
4,45666,6712,5517,410,10868300000,11703400000
4,10712,8934,8975,8775,86098,86559
4,6352,-230,-254,-373,1949,2669
4,13714,-327,-332,-1011,7639,19346
4,18811,2154,2173,1518,7076,12105
4,1528,220,236,49,1673,1872
4,3514,-256,-513,501,2097,4435
4,4241,793,660,454,2883,3501
4,1086,28,33,35,1998,2383
4,5672,1189,1226,907,2758,3936
4,30802,1766,2029,1191,15980,22427
4,1050,486,170,76,6097,6175
4,6016,-5143,23359,22397,60604,63004
4,6682,-420,-449,-858,8825,18520
3,3333,344,325,-2460,4110,4929
4,14955,158,1544,1130,9630,15288
4,351,-96,-113,-1399,650,1105
4,5283,2143,2143,1536,5511,7151
4,6470,815,828,1375,5316,7148
4,3959,-1456,-1462,-1469,718,1727
4,4332,405,429,270,1996,5642
4,19860,3416,3389,2322,19205,24850
4,3788,2157,2261,-377,3490,6363
4,5147,90,47,697,3526,7749
4,2114,546,548,397,3324,4152
4,10449,452,463,282,4482,8986
4,954,-316,-366,200,4338,5302
4,1292,111,140,126,11719,18285
4,5468,96,145,11,2857,3725
4,3097,181,179,124,1374,2052
4,13562,877,858,7,6090,11312
4,14252,1113,1082,802,8273,13241
4,588,-220,-223,-219,2081,2215
4,5981,823,889,613,5793,7041
4,1160,343,364,318,1610,2842
4,220,65,662,1190,3534,3570
4,4440,944,1000,-5630,20113,53764
4,212,15,3,2,450,680
4,2676,1586,1565,1551,7155,9637
4,1890,-696,-739,-1240,1279,1477
4,18075,1824,1763,1174,8556,19408
4,4303,1503,1569,1073,8514,9937
4,67870,24144,24255,16391,84601,92432
4,6481,-48,84,173,3866,5521
4,14144,1288,1295,916,5358,9523
4,3238,2724,2711,1892,4149,6045
4,3441,753,939,958,10094,10845
4,15667400000,2263,3709,2628,66552,14667800000
4,185,-41,-11,-1208,1803,1853
4,16894,719,575,188,7400,28755
4,89,15,15,-181,336,343
4,1150,-149,-252,37,1577,1978
4,5996,-254,438,381,3739,5414
4,105,-10,14,6,3646,3828
4,10686,-572,-1061,-1958,1396,6938
4,8531,1560,1616,1067,9400,18057
4,1984,11,11,-4,1598,1987
4,1005,479,482,297,3277,3516
4,11840,149,188,236,3561,7196
4,1076,63,67,42,548,711
4,36,-57,-62,-156,198,343
4,845,-148,-136,429,2059,2525
4,2461,300,499,387,2391,6264
4,10641,141,-50,-414,3419,4363
4,1665,81,89,1,1397,3120
4,2489,372,393,257,3617,4482
4,1693,1432,1416,1288,7986,8846
4,16957,1711,1728,1218,7938,11615
4,983,-96,-106,-289,1655,2085
4,1322,8,10,42,422,612
4,10435,-398,116,61,7884,8785
4,4066,544,557,578,2031,2766
4,10214,1614,1587,1101,3015,8438
4,9739,1269,1277,952,10118,11593
4,1823,736,828,585,2959,3262
4,12194,1012,1012,687,4001,6649
4,5254,566,607,309,5105,7202
4,41,-101,-97,-98,1537,2016
4,1884,116,124,88,2808,3264
4,2804,-32,8,7,1655,3626
4,12771,13,591,384,9658,25473
4,11791,1898,1886,1461,7043,10095
4,757,100,54,38,959,1160
4,6366,666,690,485,3999,6211
4,2115,181,279,94,1866,2401
4,13967,746,751,559,5071,9178
4,10132,886,926,604,2744,6352
4,265,-43,24,33,1278,2121
4,34197,1979,2335,1672,12043,22635
4,2244,783,837,592,2388,3258
4,3792,855,857,599,4169,4982
4,21217,-1583,-930,-1531,12897,20950
4,5120,-316,-308,-116,2490,5772
4,556,7,26,9,1781,2538
4,1968,310,307,210,1764,2246
4,1509,382,382,190,1212,1842
4,5644,-871,-875,-1201,1107,2249
4,2487,1105,1105,769,2497,2991
